ts,symbol,close,ind_rvol,ind_atr_pct,ind_vwap_distance_pct,ind_bb_squeeze,ind_momentum_3_pct,ind_momentum_6_pct,f_rsi_value,f_rsi_divergence,f_macd_hist,f_macd_divergence,f_ema_alignment,f_rvol,f_volume_spike,f_vwap_distance_pct,f_price_above_vwap,f_atr_pct,f_atr_expanding,f_bb_squeeze,f_bb_breakout_above,f_momentum_1_pct,f_momentum_3_pct,f_momentum_6_pct,f_momentum_12_pct,f_momentum_acceleration,f_higher_highs,f_higher_lows,f_bos_up,f_in_range,f_candle_strength,f_big_wick_top,f_power_streak,f_mtf_alignment,f_btc_state,f_btc_momentum_12_pct,quality_ok,candles
2026-07-19T19:55:56.317476+00:00,MNTUSDT,0.4225,0.893,1.2991201398476144,-1.549839056991024,0,0.284832660811768,0.6671431975220321,50.0,0.0,0.0,0.0,0.0,0.893,0.0,-1.549839056991024,0.0,1.2991201398476144,0.0,0.0,0.0,0.0947642738687541,0.284832660811768,0.6671431975220321,-1.308105582807754,-0.0963920234865379,1.0,0.0,0.0,0.0,0.441510770975057,1.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,HYPEUSDT,61.041,0.694,1.8396645647793304,0.6590120905122052,0,0.4740506641647272,1.925260486240981,50.0,0.0,0.0,0.0,0.0,0.694,0.0,0.6590120905122052,1.0,1.8396645647793304,0.0,0.0,0.0,0.1838205123996697,0.4740506641647272,1.925260486240981,1.3078186978241693,-0.970312146415025,0.0,0.0,0.0,0.0,0.4350195362739544,0.0,0.0,0.5,0.0,0.0,1,195
2026-07-19T19:55:56.317476+00:00,ZECUSDT,550.49,0.789,2.4102850230141235,0.8501640988242782,1,-1.6244326101719202,-1.181180103039123,50.0,0.0,0.0,0.0,0.0,0.789,0.0,0.8501640988242782,1.0,2.4102850230141235,0.0,1.0,0.0,-0.4844803586600774,-1.6244326101719202,-1.181180103039123,0.7891171408693214,-2.0750043516047727,0.0,1.0,0.0,0.0,0.2448021138740255,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,USD1USDT,0.9998,0.656,0.0173236885936042,-0.0015648192037837,0,0.0030006901587339,-0.0130009100637008,50.0,0.0,0.0,0.0,0.0,0.656,0.0,-0.0015648192037837,0.0,0.0173236885936042,0.0,0.0,0.0,0.0010002100441158,0.0030006901587339,-0.0130009100637008,0.0070018905104392,0.0190018102371332,1.0,0.0,0.0,1.0,0.2871794871799177,1.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,DRAMBUSDT,53.01,0.894,2.3416605772655195,1.549163223112015,1,0.3787161522438851,2.6529821843532098,50.0,0.0,0.0,0.0,0.0,0.894,0.0,1.549163223112015,1.0,2.3416605772655195,0.0,1.0,0.0,0.2648004539436364,0.3787161522438851,2.6529821843532098,0.5882352941176379,-1.8869693628606885,0.0,0.0,0.0,0.0,0.3823080365368919,0.0,0.0,0.5,0.0,0.0,1,69
2026-07-19T19:55:56.317476+00:00,USDCUSDT,1.00061,0.314,0.0139655098307169,-0.0056267934701617,1,0.0019988206957803,0.0029982610086124,50.0,0.0,0.0,0.0,0.0,0.314,0.0,-0.0056267934701617,0.0,0.0139655098307169,0.0,1.0,0.0,-0.0029980812280115,0.0019988206957803,0.0029982610086124,0.0029982610086124,0.0009994003595688,0.0,0.0,0.0,1.0,0.4230769230774224,1.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,XAUTUSDT,4014.1,0.847,0.331661844093298,0.2361699008199585,1,0.0648136607254121,0.1372050092301551,50.0,0.0,0.0,0.0,0.0,0.847,0.0,0.2361699008199585,1.0,0.331661844093298,0.0,1.0,0.0,0.0523429710867375,0.0648136607254121,0.1372050092301551,0.0398753894080974,-0.0075307986868537,0.0,0.0,0.0,1.0,0.6521680216802312,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,BANKUSDT,0.2243,2.733,10.825055251543528,88.36496242997187,0,105.59120073327222,101.34649910233394,50.0,0.0,0.0,0.0,0.0,2.733,1.0,88.36496242997187,1.0,10.825055251543528,1.0,0.0,1.0,40.36295369211514,105.59120073327222,101.34649910233394,239.3343419062027,107.65583269018424,0.0,1.0,1.0,0.0,0.7042418055193597,0.0,1.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,PAXGUSDT,4010.46,0.802,0.3465117251533615,0.2013876346287848,1,0.0164596737991883,0.0753598307148698,50.0,0.0,0.0,0.0,0.0,0.802,0.0,0.2013876346287848,1.0,0.3465117251533615,0.0,1.0,0.0,0.0563844119554966,0.0164596737991883,0.0753598307148698,0.0067328480695423,-0.0424307899382631,0.0,0.0,0.0,1.0,0.564099870995111,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,TLMUSDT,0.002606,3.271,8.233571789501987,33.06182481261574,0,22.06088992974237,87.7521613832853,50.0,0.0,0.0,0.0,0.0,3.271,1.0,33.06182481261574,1.0,8.233571789501987,1.0,0.0,1.0,9.083298451234816,22.06088992974237,87.7521613832853,77.27891156462584,-31.75755387429224,0.0,0.0,1.0,0.0,0.4959247541725655,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,OPNUSDT,0.0615,0.253,3.0395559452766245,-1.6641224231040217,1,-2.843601895734591,-0.9661835748792325,50.0,0.0,0.0,0.0,0.0,0.253,0.0,-1.6641224231040217,0.0,3.0395559452766245,0.0,1.0,0.0,-1.125401929260449,-2.843601895734591,-0.9661835748792325,0.0,-4.775969045493033,0.0,1.0,0.0,0.0,0.3452380952380938,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,REUSDT,0.3973,0.141,5.692796213529491,-9.613391690980496,0,-6.3854853911404375,1.7153097798259047,50.0,0.0,0.0,0.0,0.0,0.141,0.0,-9.613391690980496,0.0,5.692796213529491,0.0,0.0,0.0,-0.947394664672158,-6.3854853911404375,1.7153097798259047,-10.558307068887888,-15.038839205784573,0.0,0.0,0.0,0.0,0.5183739602344258,0.0,0.0,0.5,0.0,0.0,1,182
2026-07-19T19:55:56.317476+00:00,HYPERUSDT,0.0681,1.09,2.127175525881571,-1.8593553403715293,1,-2.295552367288385,-1.731601731601741,50.0,0.0,0.0,0.0,0.0,1.09,0.0,-1.8593553403715293,0.0,2.127175525881571,0.0,1.0,0.0,-2.435530085959896,-2.295552367288385,-1.731601731601741,-1.4471780028943573,-2.8727529444889583,0.0,0.0,0.0,0.0,0.4154362003199234,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,GOOGLBUSDT,347.2,0.965,0.9521470796411122,-0.8938661945597877,0,-0.181122962366672,0.0720564922899553,50.0,0.0,0.0,0.0,0.0,0.965,0.0,-0.8938661945597877,0.0,0.9521470796411122,0.0,0.0,0.0,-0.0805801772763985,-0.181122962366672,0.0720564922899553,-0.0403063280935067,-0.4347618152273135,0.0,0.0,0.0,0.0,0.3561342857215352,1.0,0.0,0.5,0.0,0.0,1,64
2026-07-19T19:55:56.317476+00:00,WLFIUSDT,0.0578,1.251,1.2012175225331845,0.892123374571533,1,1.581722319859399,1.581722319859399,50.0,0.0,0.0,0.0,0.0,1.251,0.0,0.892123374571533,1.0,1.2012175225331845,0.0,1.0,0.0,1.2259194395796833,1.581722319859399,1.581722319859399,1.403508771929816,1.581722319859399,0.0,0.0,0.0,1.0,0.4844877344877319,0.0,1.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,BRUSDT,0.15489,0.932,4.179783850155761,2.4755247231059143,0,1.4009819967266797,-5.5375983411599705,50.0,0.0,0.0,0.0,0.0,0.932,0.0,2.4755247231059143,1.0,4.179783850155761,0.0,0.0,0.0,-0.2832678812850035,1.4009819967266797,-5.5375983411599705,3.8972363831499934,8.243697127543298,1.0,0.0,1.0,0.0,0.2591914966693182,1.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,ESPUSDT,0.07105,1.001,2.334005163794706,-2.854623736347909,0,-1.1684518013631848,-0.5737475510775171,50.0,0.0,0.0,0.0,0.0,1.001,0.0,-2.854623736347909,0.0,2.334005163794706,0.0,0.0,0.0,-0.1265111048636391,-1.1684518013631848,-0.5737475510775171,-4.43846671149966,-1.7701870378591265,1.0,0.0,0.0,0.0,0.2052910052910032,1.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,SOXLBUSDT,129.98,0.521,4.435438266288096,-2.7321593174567678,1,-3.640002965379196,-0.7255785534255075,50.0,0.0,0.0,0.0,0.0,0.521,0.0,-2.7321593174567678,0.0,4.435438266288096,0.0,1.0,0.0,-0.611714329408175,-3.640002965379196,-0.7255785534255075,-3.995863800871554,-6.664519882815978,0.0,0.0,0.0,0.0,0.3584773633238614,0.0,0.0,0.5,0.0,0.0,1,64
2026-07-19T19:55:56.317476+00:00,WCTUSDT,0.04117,0.964,1.8130268375581269,-2.758665085935873,0,-2.0228462636839684,-1.2236084452975131,50.0,0.0,0.0,0.0,0.0,0.964,0.0,-2.758665085935873,0.0,1.8130268375581269,0.0,0.0,0.0,-1.4128352490421463,-2.0228462636839684,-1.2236084452975131,-3.7634408602150544,-2.8385852272156384,0.0,0.0,0.0,0.0,0.3042436821219713,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,HOMEUSDT,0.00778,0.888,10.358102540783772,-7.685093854766444,0,-0.7653061224489817,8.811188811188805,50.0,0.0,0.0,0.0,0.0,0.888,0.0,-7.685093854766444,0.0,10.358102540783772,0.0,0.0,0.0,-1.1435832274460058,-0.7653061224489817,8.811188811188805,-6.151990349819069,-10.415655772798626,0.0,0.0,0.0,0.0,0.4405485598494709,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,RECALLUSDT,0.03897,0.972,3.324561009889463,6.9349703019235935,0,4.927302100161547,3.616059558628025,50.0,0.0,0.0,0.0,0.0,0.972,0.0,6.9349703019235935,1.0,3.324561009889463,0.0,0.0,0.0,0.2314814814814809,4.927302100161547,3.616059558628025,8.12985571587124,6.176969741746227,1.0,1.0,1.0,0.0,0.5236680954776414,0.0,0.0,0.5,0.0,0.0,1,200
2026-07-19T19:55:56.317476+00:00,HBARUSDT,0.06641,0.767,1.0142016472872502,-0.3474103259827105,1,-1.1755952380952368,-0.5242660275614186,50.0,0.0,0.0,0.0,0.0,0.767,0.0,-0.3474103259827105,0.0,1.0142016472872502,0.0,1.0,0.0,-0.4646282973621174,-1.1755952380952368,-0.5242660275614186,0.4082249773208231,-1.8346725298867228,0.0,0.0,0.0,1.0,0.3656877385100398,0.0,0.0,0.5,0.0,0.0,1,200
