signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry,position_size,entry_mode
SYNUSDT_LONG_1785013249,2026-07-25T21:00:49.234830+00:00,SYNUSDT,LONG,0.17535,0.227955,0.16851135,0.16851135,30.0,3.9,24.0,8.0,1,0,0.1806105,0,33.5,0.0,67.0,1,0,2.6879831342234777,-2.290203945168841,0.0105884990198161,4.154955395331785,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.17535,0.0,0.0,0.0,0.16851135,2026-07-25T21:00:49.234870+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
LABUSDT_LONG_1785034364,2026-07-26T02:52:44.103580+00:00,LABUSDT,LONG,0.1538,0.166104,0.1488015,0.1488015,8.0,3.25,6.0,3.0,1,0,0.158414,0,37.5,0.0,75.0,1,0,0.7863695937090293,3.290799194089985,0.7249816081660114,1.9180754226267884,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_NORMAL,OPEN,0.1538,0.0,0.0,0.0,0.1488015,2026-07-26T02:52:44.103603+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_NORMAL
EVAAUSDT_LONG_1785098935,2026-07-26T20:48:55.147305+00:00,EVAAUSDT,LONG,0.8665,0.93582,0.83833875,0.83833875,8.0,3.25,8.0,3.0,1,0,0.892495,0,27.500000000000004,0.0,55.00000000000001,1,0,-0.5851307939421745,-0.1267865375749181,0.0559959188094318,1.4343417690215163,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_NORMAL,OPEN,0.8665,0.0,0.0,0.0,0.83833875,2026-07-26T20:48:55.147342+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_NORMAL
TLMUSDT_LONG_1785098935,2026-07-26T20:48:55.162044+00:00,TLMUSDT,LONG,0.001731,0.0020772,0.00167474,0.00167474,20.0,3.25,12.0,5.0,1,0,0.00178293,0,35.0,0.0,70.0,1,0,3.52870813397128,2.9131985731272296,1.479789125288646,3.321779318313117,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.001731,0.0,0.0,0.0,0.00167474,2026-07-26T20:48:55.162075+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
BANKUSDT_LONG_1785098935,2026-07-26T20:48:55.173441+00:00,BANKUSDT,LONG,0.3937,0.47244,0.38090475,0.38090475,20.0,3.25,12.0,5.0,1,0,0.405511,0,30.46037592075184,0.0,60.92075184150367,1,0,-1.624187906046978,6.347920043219888,0.0798767735314556,3.702964548786239,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.3937,0.0,0.0,0.0,0.38090475,2026-07-26T20:48:55.173472+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
AKEUSDT_LONG_1785098935,2026-07-26T20:48:55.184532+00:00,AKEUSDT,LONG,0.0031979,0.00399738,0.00309397,0.00309397,25.0,3.25,12.0,7.0,1,0,0.00329384,0,31.91336502079489,0.0,63.82673004158978,1,0,0.5755440935966842,5.583069202324358,0.2926208567709363,4.118104291655684,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0031979,0.0,0.0,0.0,0.00309397,2026-07-26T20:48:55.184562+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ACEUSDT_LONG_1785098935,2026-07-26T20:48:55.195533+00:00,ACEUSDT,LONG,0.0819,0.09828,0.07923825,0.07923825,20.0,3.25,12.0,5.0,1,0,0.084357,0,28.85531135531136,0.0,57.71062271062272,1,0,0.4907975460122669,-2.9620853080568743,0.1329067929955432,3.244374672946104,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0819,0.0,0.0,0.0,0.07923825,2026-07-26T20:48:55.195561+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ERAUSDT_LONG_1785098935,2026-07-26T20:48:55.206305+00:00,ERAUSDT,LONG,0.0818,0.087526,0.0796732,0.0796732,7.0,2.6,6.0,2.5,1,0,0.084254,0,27.500000000000004,0.0,55.00000000000001,1,0,1.488833746898254,5.2767052767052665,0.183219325215088,2.0607754104086644,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_NORMAL,OPEN,0.0818,0.0,0.0,0.0,0.0796732,2026-07-26T20:48:55.206333+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_NORMAL
WODUSDT_LONG_1785098935,2026-07-26T20:48:55.216354+00:00,WODUSDT,LONG,0.00565,0.00678,0.00546637,0.00546637,20.0,3.25,12.0,5.0,1,0,0.0058195,0,27.500000000000004,0.0,55.00000000000001,1,0,-0.8597999649061315,-1.2928022361984677,0.4178697510068893,1.240202275600506,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.00565,0.0,0.0,0.0,0.00546637,2026-07-26T20:48:55.216382+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ESPUSDT_LONG_1785099250,2026-07-26T20:54:10.179387+00:00,ESPUSDT,LONG,0.10596,0.13245,0.10182756,0.10182756,25.0,3.9,12.0,6.0,1,0,0.1091388,0,35.0,0.0,70.0,1,0,11.372713895312168,5.970597059705974,0.6100417188516722,6.412797281993204,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.10596,0.0,0.0,0.0,0.10182756,2026-07-26T20:54:10.179423+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
NOMUSDT_LONG_1785099250,2026-07-26T20:54:10.197023+00:00,NOMUSDT,LONG,0.00156,0.00195,0.00149916,0.00149916,25.0,3.9,12.0,6.0,1,0,0.0016068,0,42.5,0.0,85.0,1,0,1.2987012987013022,3.311258278145689,0.8780332078266538,1.923076923076921,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.00156,0.0,0.0,0.0,0.00149916,2026-07-26T20:54:10.197053+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
AIGENSYNUSDT_LONG_1785099250,2026-07-26T20:54:10.213509+00:00,AIGENSYNUSDT,LONG,0.0244,0.0305,0.0234484,0.0234484,25.0,3.9,12.0,6.0,1,0,0.025132,0,42.5,0.0,85.0,1,0,-0.1636661211129229,0.4115226337448678,1.2338769237575804,1.2734192037470704,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0244,0.0,0.0,0.0,0.0234484,2026-07-26T20:54:10.213535+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
